시간,일정,장소,세부 내용,담당자,필요 도우미 수,배정된 도우미
PM 12:30,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 12:30,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 12:45,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 1:00,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 1:05,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 1:15,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 1:30,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 1:45,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 2:00,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 2:15,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 2:30,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 2:30,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 2:30,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 2:30,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 2:30,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 2:30,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 2:30,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 2:30,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 2:30,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 2:30,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 2:30,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 2:45,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 3:00,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 3:15,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 3:30,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 3:45,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
